Comment Text,Cleaned Comment,Sentiment,preprocessing_comment
@strawberrymiaw @pln_123 @ManUtd_ID Soalnya tim nya lagi menyalaaa,soalnya tim nya lagi menyala,netral,tim nya nyala
di emyu era kegelapan ga begitu,di emyu era kegelapan ga begitu,negatif,di emyu era gelap
@idextratime mana yang bilang sancho keluar dari emyu pasti bagus,mana yang bilang sancho keluar dari emyu pasti bagus,positif,bilang sancho emyu bagus
@unmagnetism dan emyu masih gila,dan emyu masih gila,netral,emyu gila
ini saluran king emyu kenapa guys #ManchesterUnited #footballlovers #fbtlindonesia #emyu @ManUtd_ID https://t.co/ViQ6oVef3Y,ini saluran king emyu kenapa guys manchesterunited footbalovers fbtlindonesia emyu,netral,salur king emyu guys manchesterunited footbalovers fbtlindonesia emyu
dari kandang emyu ke kandang chelsea,dari kandang emyu ke kandang chelsea,netral,kandang emyu ke kandang chelsea
Setelah ngeliat statistik Ruben Amorim di Sporting CP pede gak ges doi sama jagonya di Emyu nanti? Cocok lahhhh ini Eh atau klean mau coba sama Southgate dulu? #SUPERLIVE #SUPERSOCCER #INIRASANYASUPER #MANCHESTERUNITED https://t.co/DZBBi6JsHc,setelah ngeliat statistik ruben amorim di sporting cp pede gak ges doi sama jagonya di emyu nanti cocok lah ini eh atau klean mau coba sama southgate dulu superlive supersoccer inirasanyasuper manchesterunited,positif,statistik ruben amorim di sporting cp percaya ges doi jago di emyu cocok eh klean coba southgate superlive supersoccer inirasanyasuper manchesterunited
Erik ten Hag: Orang ini (Ugarte) memberi kita pertarungan Ugarte: Siapa ? Ten Hag: Kau Ugarte: Pertarungan itu normal untukku sangat normal #ManchesterUnited #Ugarte #ErikTenHag #kingemyu https://t.co/U1WcHjTHdz,erik ten hag orang ini ugarte memberi kita pertarungan ugarte siapa ten hag kau ugarte pertarungan itu normal untukku sangat normal manchesterunited ugarte eriktenhag kingemyu,negatif,erik ten hag orang ugarte tarung ugarte ten hag kau ugarte tarung normal untukku normal manchesterunited ugarte eriktenhag kingemyu
Manuel Ugarte masuk line up Uruguay untuk hari ini #ManchesterUnited #kingemyu https://t.co/6FpkzkMYbB,manuel ugarte masuk line up uruguay untuk hari ini manchesterunited kingemyu,netral,manuel ugarte masuk line up uruguay manchesterunited kingemyu
@ManUtd_ID tim iki wayahe bubar,tim iki wayahe bubar,negatif,tim iki wayahe bubar
TJAKEPPP #ManchesterUnited #Ugarte #kingemyu https://t.co/V75L1LvaK3,tjakep manchesterunited ugarte kingemyu,netral,tjakep manchesterunited ugarte kingemyu
Untuk kasus Oyedele dia akan main di salah satu klub top di negara yang dia bela di level internasional. Itu kan kabar baik. Disyukuri aja. Kalau karir dia bagus bahkan dia gak balik ke emyu pun dia akan tetap selalu jadi lulusan akademi Manchester United. Itu membanggakan.,untuk kasus oyedele dia akan main di salah satu klub top di negara yang dia bela di level internasional itu kan kabar baik disyukuri aja kalau karir dia bagus bahkan dia gak balik ke emyu pun dia akan tetap selalu jadi lulusan akademi manchester united itu membanggakan,positif,oyedele main di salah klub top di negara bela di level internasional kabar syukur karir bagus ke emyu lulus akademi manchester united bangga
@mbakjenni yg emyu emyu aja,yg emyu emyu aja,netral,emyu emyu
