Comment Text,Cleaned Comment,Sentiment
Comment Text,comment text,netral
Semoga ada ugarte jadi bisa refresh lagi dah performanya case,semoga ada ugarte jadi bisa refresh lagi dah performanya case,positif
tolol,tolol,negatif
"Udah bingung sebingung bingungnya gw sama emyu. Winger gak ada yang berani nusuk, passing gak ada yang ada visi nya. Dikutuk apa ya emyu ini?",udah bingung sebingung bingungnya gw sama emyu winger gak ada yang berani nusuk passing gak ada yang ada visi nya dikutuk apa ya emyu ini,negatif
Makanya kalo pegang bola jangan suka ngalamun,makanya kalo pegang bola jangan suka ngalamun,negatif
Jual cari yg tenaga2 muda dan bayaran yg murah ketimbang yg ini beban club gajinya,jual cari yg tenaga muda dan bayaran yg murah ketimbang yg ini beban club gajinya,negatif
onana lawak banget wkwk,onana lawak banget wkwk,negatif
Masi butuh sih untuk cadangan.. Jaga2 kalo ada cedera,masi butuh sih untuk cadangan jaga kalo ada cedera,positif
"udah lah, sadar diri!!! beban!",udah lah sadar diri beban,negatif
Casemiro wajib belajar ke mbah Maguire kalo soal ini. Kemaren Maguire punya pengalaman begini juga soalnya,casemiro wajib belajar ke mbah maguire kalo soal ini kemaren maguire punya pengalaman begini juga soalnya,positif
Cakep bang case,cakep bang case,positif
jadwal main emyu kalah lagi bang,jadwal main emyu kalah lagi bang,negatif
Stay semusim lagi,stay semusim lagi,positif
"Case mental nya udah kebentuk waktu di madrid, semoga bisa balik ke performa terbaiknya",case mental nya udah kebentuk waktu di madrid semoga bisa balik ke performa terbaiknya,positif
Bang.. Please sadar diri Bang...,bang please sadar diri bang,negatif
Cuma butuh partner yg cocok aja si dia mah,cuma butuh partner yg cocok aja si dia mah,positif
Sampe kapan emyu gini terus?,sampe kapan emyu gini terus,negatif
"tenang bro, winger kanan masih ada harapan yaitu amad diallo cuma dia yang mainnya seperti winger, tergantung si ten hag botak aja mau nurunin gengsinya dia gak buat mainin si amad tiap match jadi starting line up",tenang bro winger kanan masih ada harapan yaitu amad diallo cuma dia yang mainnya seperti winger tergantung si ten hag botak aja mau nurunin gengsinya dia gak buat mainin si amad tiap match jadi starting line up,positif
Umpan lu case dah itu aja sama lari jangan lemot,umpan lu case dah itu aja sama lari jangan lemot,negatif
kapan main lagi? dan jam berapa?,kapan main lagi dan jam berapa,netral
Bacot,bacot,negatif
"Cuma di MU pemain tua masih di pakai, jd wajar kalau mainnya tim ini paling jelek diantara tim big 6 bahkan 10 besar kayaknya.",cuma di mu pemain tua masih di pakai jd wajar kalau mainnya tim ini paling jelek diantara tim big bahkan besar kayaknya,negatif
Cocok jadi supersub aja ni case untuk sekarang,cocok jadi supersub aja ni case untuk sekarang,positif
"Case mending main buat di kebo cup sama fa cup, Ugarte buat liga sama europa league",case mending main buat di kebo cup sama fa cup ugarte buat liga sama europa league,netral
Menurut gue masih layak meskipun ga masuk di cadangan. Sebenarnya sayap emyu ga ada yang berani nusuk atau ga ada yang bisa ngelewatin pemain apalagi rashford ï£¿Ã¼Ã²Â¢,menurut gue masih layak meskipun ga masuk di cadangan sebenarnya sayap emyu ga ada yang berani nusuk atau ga ada yang bisa ngelewatin pemain apalagi rashford,negatif
bapakmu buffon,bapakmu buffon,positif
"Suka tidak suka mental seperti ini lah yg tidak dipunya Sanco, bahkan pemain emyu lainnya juga",suka tidak suka mental seperti ini lah yg tidak dipunya sanco bahkan pemain emyu lainnya juga,negatif
Harusnya gitu contohlah paduka maguire di puji tidak terbang di acaci tidak tumbang jangan kek Sancho apa lagi Mariadi ï£¿Ã¼Ã³Ã¸,harusnya gitu contohlah paduka maguire di puji tidak terbang di acaci tidak tumbang jangan kek sancho apa lagi mariadi,negatif
