Comment Text,Cleaned Comment,Sentiment
full_text,full_text,netral
Abang baru banyak ternyata typing di atas banyak typonya. Maaf kemarin sambil ngantuk. Diving abang udah sedalam Samudera Pasifik nih adek mau bantuin ta? Keren banget kita emang harus bahagia tiap hari. Kalo abang singkat saja karna Manchester United.,abang baru banyak ternyata typing di atas banyak typonya maaf kemarin sambil ngantuk diving abang udah sedalam samudera pasifik nih adek mau bantuin ta keren banget kita emang harus bahagia tiap hari kalo abang singkat saja karna manchester united,positif
Jadi kesimpulannya apakah Antony yang emang gacor atau Manchester United yang cursed? Soalnya gue main eFootball Antony gacor juga di Manchester United.,jadi kesimpulannya apakah antony yang emang gacor atau manchester united yang cursed soalnya gue main efootball antony gacor juga di manchester united,positif
Selamat umat Manchester United yang berbahagia. Manchester United menang dramatis 2-1 atas Leicester City dalam laga putaran keempat Piala FA di Old Trafford Sabtu dini hari WIB.,selamat umat manchester united yang berbahagia manchester united menang dramatis atas leicester city dalam laga putaran keempat piala fa di old trafford sabtu dini hari wib,positif
Alhamdulillah Asal kamu tau sampai saat ini yang masih memiliki trophy liga inggris terbanyak ya Manchester United  So jangan menyesal memilih emyu oke karena Manchester United klub terbaik di dunia,alhamdulillah asal kamu tau sampai saat ini yang masih memiliki trophy liga inggris terbanyak ya manchester united so jangan menyesal memilih emyu oke karena manchester united klub terbaik di dunia,positif
Cie bentar lagi ulang tahun aku mau kado dong. Kalau aku pengen ajak Manchester United ke planetku karena aku nggak bisa hidup tanpa Manchester United. Kalau ada yang suka relay itu orang aneh sih siapa juga yang suka game toxic itu.,cie bentar lagi ulang tahun aku mau kado dong kalau aku pengen ajak manchester united ke planetku karena aku nggak bisa hidup tanpa manchester united kalau ada yang suka relay itu orang aneh sih siapa juga yang suka game toxic itu,positif
Manchester United disuruh obligation to buy. Lah ini kok straight loan?,manchester united disuruh obligation to buy lah ini kok straight loan,negatif
Saat ini jika Manchester United tanding melawan Dewa United gue yakin Manchester United bakalan keok deh.,saat ini jika manchester united tanding melawan dewa united gue yakin manchester united bakalan keok deh,positif
Jir Antony jadi bagus gini mainnya wkwk. 1. Pressure main di Manchester United tinggi dia terbebani. 2. Beban harga 100 juta. 3. Struktur permainan Betis jauh lebih rapi dari Manchester United.,jir antony jadi bagus gini mainnya wkwk pressure main di manchester united tinggi dia terbebani beban harga juta struktur permainan betis jauh lebih rapi dari manchester united,positif
Manchester United ini harus didaur ulang. Buat dunia tidak tahu siapa itu Manchester United.,manchester united ini harus didaur ulang buat dunia tidak tahu siapa itu manchester united,negatif
ikutlah apa kata GD #GD #GusDur #Inspiratif #GuruBangsa #Solutif #Alfatihah Jam 2 Siti Emyu LPG Manchester United #GengSoloSumberBencana https://t.co/btmqcGnuXG,ikutlah apa kata gd gd gusdur inspiratif gurubangsa solutif alfatihah jam siti emyu lpg manchester united gengsolosumberbencana,netral
SI DIA TELAH MEMILIH! Mathys Tel (19/LW-ST) menjatuhkan pilihannya untuk bergabung dengan MANCHESTER UNITED. Emyu dan Bayern Munchen sedang dalam tahap negosiasi. Emyu telah menawarkan kesepakatan peminjaman sedangkan Bayern ingin pinjaman dengan kewajiban pembelian atau https://t.co/NHmHTDyMHU,si dia telah memilih mathys tel lwst menjatuhkan pilihannya untuk bergabung dengan manchester united emyu dan bayern munchen sedang dalam tahap negosiasi emyu telah menawarkan kesepakatan peminjaman sedangkan bayern ingin pinjaman dengan kewajiban pembelian atau,netral
FT Man Utd 0-2 Crystal Palace BIASAKAN NONTON EMYU SAMPE AKHIR! https://t.co/VZjEbHyXkI,ft man utd crystal palace biasakan nonton emyu sampe akhir,netral
keren emyu baru kemarin mengakhiri januari dengan kemenangan eh ganti bulan bentar langsung mengawali februari dengan kekalahan dong... mantep dah manchester united mantep tololnya,keren emyu baru kemarin mengakhiri januari dengan kemenangan eh ganti bulan bentar langsung mengawali februari dengan kekalahan dong mantep dah manchester united mantep tololnya,positif
mungkin harus nunggu belasan bahkan puluhan tahun lg buat liat Manchester United berjaya buat liat Manchester United bukan emyu.,mungkin harus nunggu belasan bahkan puluhan tahun lg buat liat manchester united berjaya buat liat manchester united bukan emyu,positif
emyu ini kenapa lagi bangsat,emyu ini kenapa lagi bangsat,negatif
Sampe kapan ya kata2 biasakan nonton emyu sampe abis ini dipake,sampe kapan ya kata biasakan nonton emyu sampe abis ini dipake,netral
Rashford Garnacho Casemiro dan Malacia. Satu dari mereka kemungkinan bakal cabut dari Emyu Januari Ini Dengan nama pertama adalah mungkin yang paling kencang untuk keluar dari Manchester United,rashford garnacho casemiro dan malacia satu dari mereka kemungkinan bakal cabut dari emyu januari ini dengan nama pertama adalah mungkin yang paling kencang untuk keluar dari manchester united,netral
@jony_ke Ya itu udah gausah disebut lagi gan semua (yang nyebut diri mereka fans emyu) udah tahu sumber hutang ratusan juta United datang dari mana. #PL-nya juga sialan baru bikin peraturan yang against pembelian macam itu baru-baru ini. Mereka cuma manfa,ya itu udah gausah disebut lagi gan semua yang nyebut diri mereka fans emyu udah tahu sumber hutang ratusan juta united datang dari mana plnya juga sialan baru bikin peraturan yang against pembelian macam itu barubaru ini mereka cuma manfa,negatif
"Antony di Emyu tuh kayak wifi kampus, kadang kenceng kadang ilang sinyal.",antony di emyu tuh kayak wifi kampus kadang kenceng kadang ilang sinyal,negatif
"Kalo Manchester United jadi sinetron, judulnya pasti ""Ditinggal Fans Karena Tak Kunjung Juara"".",kalo manchester united jadi sinetron judulnya pasti ditinggal fans karena tak kunjung juara,positif
Emyu menang = timeline rame. Emyu kalah = timeline rame. Emang klub sejuta rasa.,emyu menang timeline rame emyu kalah timeline rame emang klub sejuta rasa,negatif
Bruno kapten? Dia lebih sering protes ke wasit daripada passing ke depan. __,bruno kapten dia lebih sering protes ke wasit daripada passing ke depan __,negatif
"MU udah kayak mantan, makin disayang makin nyakitin. Tapi tetep ditungguin mainnya.",mu udah kayak mantan makin disayang makin nyakitin tapi tetep ditungguin mainnya,positif
Manchester United Lolos ke 16 Besar Liga Europa Usai Kalahkan FCSB 2-0 #MUFC emyu #Mainoo https://t.co/q7XnaWKVj9,manchester united lolos ke besar liga europa usai kalahkan fcsb mufc emyu mainoo,negatif
Manchester United Lolos ke 16 Besar Liga Europa Usai Kalahkan FCSB 2-0 #MUFC emyu #Mainoo https://t.co/WcfRY3qRMg,manchester united lolos ke besar liga europa usai kalahkan fcsb mufc emyu mainoo,negatif
Manchester United Lolos ke 16 Besar Liga Europa Usai Kalahkan FCSB 2-0 #MUFC emyu #Mainoo https://t.co/J766eQdGwL,manchester united lolos ke besar liga europa usai kalahkan fcsb mufc emyu mainoo,negatif
Dari 36 tim di Liga Europa Manchester United adalah satu-satunya tim yang tak terkalahkan . King emyu is back! #UnitedIcon #MUFC #UEL https://t.co/b9Rxqf8rSh,dari tim di liga europa manchester united adalah satusatunya tim yang tak terkalahkan king emyu is back unitedicon mufc uel,negatif
Suamiku minta kado ultah jersey emyu sudah kubilang harga segitu mending beli sepatu!! Tapi dia tetep dengan pendiriannya jersey manchester united glory glory man utd,suamiku minta kado ultah jersey emyu sudah kubilang harga segitu mending beli sepatu tapi dia tetep dengan pendiriannya jersey manchester united glory glory man utd,netral
BREAKING : Untuk kesekian kalinya Marcus Rashford tidak masuk skuad Manchester United. Ia ditinggal untuk laga liga Europa menghadapi FCSB lusa nanti. @FabrizioRomano Di Emyu dicampakkan dijual sulit. Gimana ini le? https://t.co/K6VjgjDwkM,breaking untuk kesekian kalinya marcus rashford tidak masuk skuad manchester united ia ditinggal untuk laga liga europa menghadapi fcsb lusa nanti di emyu dicampakkan dijual sulit gimana ini le,positif
Glory glory manutd katanya... Tapi akhir-akhir ini lebih ke sorry sorry manutd.,glory glory manutd katanya tapi akhirakhir ini lebih ke sorry sorry manutd,negatif
Manchester United butuh penguatan pada banyak Posisi GK CB RWB LWB CM AM CF Minimal 6 pemain baru untuk emyu,manchester united butuh penguatan pada banyak posisi gk cb rwb lwb cm am cf minimal pemain baru untuk emyu,netral
Sebagai fans Manchester United gua lagi di fase lebih enak nonton konferensi pers Ruben Amorim daripada nonton Pertandingan emyu,sebagai fans manchester united gua lagi di fase lebih enak nonton konferensi pers ruben amorim daripada nonton pertandingan emyu,positif
Manchester United Bertahan dari Tekanan Fulham Menang Tipis 1-0 #BreakingNewsâ Emyu #ManchesterUnited #MUFC #FulhamVsUnited #FulhamFC https://t.co/D8a8syeeuz,manchester united bertahan dari tekanan fulham menang tipis breakingnews emyu manchesterunited mufc fulhamvsunited fulhamfc,positif
Fulltime! EPL Fulham 0-1 Manchester United Gol semata wayang Martinez selamatkan Emyu,fulltime epl fulham manchester united gol semata wayang martinez selamatkan emyu,netral
Manchester United bikin penyakit gak sehat. Menjaga kewarasan mending gausah nonton emyu Onana anjing,manchester united bikin penyakit gak sehat menjaga kewarasan mending gausah nonton emyu onana anjing,negatif
