Comment Text,Cleaned Comment,Sentiment
"@theobonaa Dorgu di Lecce juga sering dimainkan di sayap kanan,, selain posisi Bek kiri. Dua kakinya juga sama hidupnya",dorgu di lecce juga sering dimainkan di sayap kanan selain posisi bek kiri dua kakinya juga sama hidupnya,positif
Kemungkinan memasukkan mactominay si botakï£¿Ã¼Ã²Ã ï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã,kemungkinan memasukkan mactominay si botak,netral
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral
Info mengenai channel streaming pertandingan sudah diupdate.,info mengenai channel streaming pertandingan sudah diupdate,netral
"MU menang 2-1, tapi saya merasa masih banyak yang harus diperbaiki. Lini belakang terlalu sering kebobolan.",mu menang tapi saya merasa masih banyak yang harus diperbaiki lini belakang terlalu sering kebobolan,positif
"salah siapa pinjemin anthony ma rashport, so-soan",salah siapa pinjemin anthony ma rashport sosoan,negatif
"Meskipun menang, Brighton tetap memberi perlawanan dan mampu menciptakan peluang di beberapa waktu yang krusial.",meskipun menang brighton tetap memberi perlawanan dan mampu menciptakan peluang di beberapa waktu yang krusial,positif
Amrabat aja udah 2 x main di Fiorentina,amrabat aja udah x main di fiorentina,netral
@hazzfelix opsi buy akhir musim,opsi buy akhir musim,netral
"Kekalahan 1-2 dan Amorim harus segera temukan cara memperbaiki pertahanan. Kalau nggak, kita bakal terus kalah!",kekalahan dan amorim harus segera temukan cara memperbaiki pertahanan kalau nggak kita bakal terus kalah,positif
astaghfirullah united,astaghfirullah united,negatif
@awanbulan1414 No. Tuchel Yes.,no tuchel yes,negatif
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral
"Midfield kita sampah! Nggak bisa ngontrol tempo, umpan ngaco semua!",midfield kita sampah nggak bisa ngontrol tempo umpan ngaco semua,positif
Semoga musim depan MU bisa lebih solid dan bersaing di papan atas.,semoga musim depan mu bisa lebih solid dan bersaing di papan atas,positif
"Laga kedua memperlihatkan perbaikan dalam pertahanan, namun Rashford harus lebih sering menembak untuk mendapatkan gol.",laga kedua memperlihatkan perbaikan dalam pertahanan namun rashford harus lebih sering menembak untuk mendapatkan gol,netral
"Lini depan kita jauh lebih hidup, tapi defense kita masih rapuh. Harus lebih solid lagi di belakang.",lini depan kita jauh lebih hidup tapi defense kita masih rapuh harus lebih solid lagi di belakang,negatif
"Min,, 4-4-2,,,dalot de ligt martinez mazroui,,, kasih delandang  ugarte casemiro bruno maino,, depan coba zirkzee hojlund",min dalot de ligt martinez mazroui kasih delandang ugarte casemiro bruno maino depan coba zirkzee hojlund,netral
Gegenpressing ala Amorim lebih efektif daripada pressing setengah matang Ten Hag.,gegenpressing ala amorim lebih efektif daripada pressing setengah matang ten hag,positif
untung ga el silahkan,untung ga el silahkan,positif
Pemain-pemain senior perlu memberi contoh kepada pemain muda di dalam tim.,pemainpemain senior perlu memberi contoh kepada pemain muda di dalam tim,netral
"Ga di tonton menang, giliran ditonton kalah, mending ga usah nonton dlu ï£¿Ã¼Ã²Ã",ga di tonton menang giliran ditonton kalah mending ga usah nonton dlu,positif
itu 3 bek solid banget anjirrrrr ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢,itu bek solid banget anjir,positif
Gasssss,gas,negatif
"Strategi udah bagus, tapi finishing-nya parah! Buang peluang mulu!",strategi udah bagus tapi finishingnya parah buang peluang mulu,negatif
"ya itu karena brightonnya bagus main offside trap,trus dengan lu masukin mctominay ada perubahan kah?",ya itu karena brightonnya bagus main offside traptrus dengan lu masukin mctominay ada perubahan kah,positif
"Mungkin kita bisa lebih cepat dalam transisi serangan, beberapa kali Brighton mampu menahan kita dengan mudah.",mungkin kita bisa lebih cepat dalam transisi serangan beberapa kali brighton mampu menahan kita dengan mudah,positif
pelatih fisiknya siapa emyu,pelatih fisiknya siapa emyu,netral
Tiap musim gini trus,tiap musim gini trus,netral
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral
"Laga kedua memperlihatkan perbaikan dalam pertahanan, namun Rashford harus lebih sering menembak untuk mendapatkan gol.",laga kedua memperlihatkan perbaikan dalam pertahanan namun rashford harus lebih sering menembak untuk mendapatkan gol,netral
Kenapa Amorim tidak mencoba lebih banyak pemain muda? Padahal ada potensi.,kenapa amorim tidak mencoba lebih banyak pemain muda padahal ada potensi,netral
"@rzkyaph udah bener dapat tandem pemain yg pas, eksperimen gak jelas lagi. Mas morim, mas morim",udah bener dapat tandem pemain yg pas eksperimen gak jelas lagi mas morim mas morim,positif
sudah kubilang kalo pemain MU itu lagi bagus sbnerbya bukan pemainnya yg bagus tapi lawannya yg lagi jelek,sudah kubilang kalo pemain mu itu lagi bagus sbnerbya bukan pemainnya yg bagus tapi lawannya yg lagi jelek,negatif
"biasanya alumni emyu sukses di itali, darmian, Alexis, lukaku, young, smalling",biasanya alumni emyu sukses di itali darmian alexis lukaku young smalling,netral
untung gaada var,untung gaada var,positif
@fahmy_danang Yora sports,yora sports,netral
mood kaca balau habis ntn MU. pengaruh ga baik buat kesehatan dan kedamaian keluarga,mood kaca balau habis ntn mu pengaruh ga baik buat kesehatan dan kedamaian keluarga,negatif
@arisrmdhan_ rashford pun tak guna,rashford pun tak guna,netral
"@rzkyaph kmrn mainoo dimainin didepan bisa bagus, pas dimainin diepl trnyata kocak lg pemainya. Mau pep pun ngelatih emyu klo pemainny kocak ga bakal kemanaÂ¬â¤ï£¿Ã¼Ã²Ã",kmrn mainoo dimainin didepan bisa bagus pas dimainin diepl trnyata kocak lg pemainya mau pep pun ngelatih emyu klo pemainny kocak ga bakal kemana,negatif
Style penalty licha gila cool bet ï£¿Ã¼Ã®â¢,style penalty licha gila cool bet,positif
Surem njirrr yg cedera....ancur dah....ï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã Cedera apa arisan itu ï£¿Ã¼Ã²Ã,surem njir yg cederaancur dah cedera apa arisan itu,negatif
Amorim ngebangun MU jadi tim yang fun buat ditonton lagi! Bukan sekadar parkir bus atau bola mati doang.,amorim ngebangun mu jadi tim yang fun buat ditonton lagi bukan sekadar parkir bus atau bola mati doang,positif
"Senang lihat pemain muda dapat kesempatan di era Amorim, ini yang kita butuhkan.",senang lihat pemain muda dapat kesempatan di era amorim ini yang kita butuhkan,positif
"Udah bukan salah pelatih bwangg, emg emyu yg bapuk @rzkyaph",udah bukan salah pelatih bwangg emg emyu yg bapuk,positif
"Ten Hag berhasil membawa tim lebih dekat dengan identitas bermain yang jelas, namun di pertandingan besar masih terlihat kekurangan mental.",ten hag berhasil membawa tim lebih dekat dengan identitas bermain yang jelas namun di pertandingan besar masih terlihat kekurangan mental,negatif
Ini yang salah dari MU pelatih apa pemain?,ini yang salah dari mu pelatih apa pemain,negatif
Yg bener baru 3 match udh 2x kalah nih Pak Ten Hag,yg bener baru match udh x kalah nih pak ten hag,negatif
Bacot,bacot,negatif
@muhammad_dani131 nonton final fa ga?,nonton final fa ga,netral
@tjoi87k9p seengganya lah menang bang,seengganya lah menang bang,positif
Itu mah ga sengaja sih ga ada niat buat nyentuh dari dia juga,itu mah ga sengaja sih ga ada niat buat nyentuh dari dia juga,negatif
@zainulfikrid fcsb garis kerasnya ï£¿Ã¼Ã²Ã,fcsb garis kerasnya,positif
Nyusahin amat .mending pindah aja,nyusahin amat mending pindah aja,negatif
"@rzkyaph dia ngelakuin tugas striker masuk kesana plus dah dalam keadaan meluncur bang, susah pastinya mikir n ngendaliin anggota badan dalam sepersekian detik. Bener2 unlucky. Kl striker gedebog pisang mungkin dia cuma diem di deket titik pinalti",dia ngelakuin tugas striker masuk kesana plus dah dalam keadaan meluncur bang susah pastinya mikir n ngendaliin anggota badan dalam sepersekian detik bener unlucky kl striker gedebog pisang mungkin dia cuma diem di deket titik pinalti,positif
Apasii nih kiperr bab***,apasii nih kiperr bab,negatif
Ganti pelatihnya dulu trus klo udh dapet pelatih baru yg pinter pasti rashford ma casemiro di jualâÃÂ¶simpel kan ï£¿Ã¼Ã²Ã ga banyak ribet âÃÂ¶,ganti pelatihnya dulu trus klo udh dapet pelatih baru yg pinter pasti rashford ma casemiro di jual simpel kan ga banyak ribet,positif
@dikasaputra___ hahaha siap si paling gak fomo.,hahaha siap si paling gak fomo,positif
"@egrmdna klo lu objektif secara permainan 2 match ini udh bagus, cuma error pemainnya masih blm berubah. Ada aja 1-2 momen miss yg berujung gol atau ga gol",klo lu objektif secara permainan match ini udh bagus cuma error pemainnya masih blm berubah ada aja momen miss yg berujung gol atau ga gol,negatif
"biarin aja bang wkwk capek sendiri mereka, jelas2 squadnya kaga jelas, makanya amorim masih coba2 trus musim ini, di PL keknya ngincer ga degradasi ajaï£¿Ã¼Ã²Ãï£¿Ã¼Â§Â£ ngandelin uel sm fa doang ï£¿Ã¼Ã²Ãï£¿Ã¼Â§Â£",biarin aja bang wkwk capek sendiri mereka jelas squadnya kaga jelas makanya amorim masih coba trus musim ini di pl keknya ngincer ga degradasi aja ngandelin uel sm fa doang,negatif
@bobbymulyana307 siapa yg baru maen di epl bagus?,siapa yg baru maen di epl bagus,positif
rashford emang striker kocak juga nih,rashford emang striker kocak juga nih,negatif
@donifernandes8 lemah wkwkw,lemah wkwkw,negatif
Nah kan idup mainnyaï£¿Ã¼Ã²Ã,nah kan idup mainnya,netral
@tokosandalmakmi kalo fans asli sono mah yg di desak bukan pelatih tapi Glazers family.,kalo fans asli sono mah yg di desak bukan pelatih tapi glazers family,negatif
"@medanloser tiap 2 taun sekali, gacornya setengah musim doang wkwkwk",tiap taun sekali gacornya setengah musim doang wkwkwk,positif
Pemain kita harus mulai nonton tutorial YouTube cara passing yang benar!,pemain kita harus mulai nonton tutorial youtube cara passing yang benar,netral
Lawak terlucu abad ini,lawak terlucu abad ini,negatif
"Amorim sudah membuat kemajuan besar di sektor pertahanan, tetapi serangan balik sering kali tidak cukup tajam untuk memanfaatkan peluang.",amorim sudah membuat kemajuan besar di sektor pertahanan tetapi serangan balik sering kali tidak cukup tajam untuk memanfaatkan peluang,netral
