before_stopword,after_stopword
"['dorgu', 'di', 'lecce', 'juga', 'sering', 'dimainkan', 'di', 'sayap', 'kanan', 'selain', 'posisi', 'bek', 'kiri', 'dua', 'kakinya', 'juga', 'sama', 'hidupnya']",dorgu di lecce dimainkan di sayap kanan posisi bek kiri kakinya hidupnya
"['kemungkinan', 'memasukkan', 'mactominay', 'sih', 'botak']",memasukkan mactominay sih botak
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['info', 'mengenai', 'channel', 'streaming', 'pertandingan', 'sudah', 'diupdate']",info channel streaming pertandingan diupdate
"['mu', 'menang', 'tapi', 'saya', 'merasa', 'masih', 'banyak', 'yang', 'harus', 'diperbaiki', 'lini', 'belakang', 'terlalu', 'sering', 'kebobolan']",mu menang diperbaiki lini kebobolan
"['salah', 'siapa', 'pinjemin', 'anthony', 'sama', 'rashport', 'sosoan']",salah pinjemin anthony rashport sosoan
"['meskipun', 'menang', 'brighton', 'tetap', 'memberi', 'perlawanan', 'dan', 'mampu', 'menciptakan', 'peluang', 'di', 'beberapa', 'waktu', 'yang', 'krusial']",menang brighton perlawanan menciptakan peluang di krusial
"['amrabat', 'saja', 'sudah', 'kali', 'main', 'di', 'fiorentina']",amrabat kali main di fiorentina
"['opsi', 'buy', 'akhir', 'musim']",opsi buy musim
"['kekalahan', 'dan', 'amorim', 'harus', 'segera', 'temukan', 'cara', 'memperbaiki', 'pertahanan', 'kalau', 'enggak', 'kita', 'bakal', 'terus', 'kalah']",kekalahan amorim temukan memperbaiki pertahanan kalah
"['astaghfirullah', 'united']",astaghfirullah united
"['no', 'tuchel', 'yes']",no tuchel yes
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['midfield', 'kita', 'sampah', 'enggak', 'bisa', 'ngontrol', 'tempo', 'umpan', 'mengaco', 'semua']",midfield sampah ngontrol tempo umpan mengaco
"['semoga', 'musim', 'depan', 'mu', 'bisa', 'lebih', 'solid', 'dan', 'bersaing', 'di', 'papan', 'atas']",semoga musim mu solid bersaing di papan
"['laga', 'kedua', 'memperlihatkan', 'perbaikan', 'dalam', 'pertahanan', 'namun', 'rashford', 'harus', 'lebih', 'sering', 'menembak', 'untuk', 'mendapatkan', 'gol']",laga perbaikan pertahanan rashford menembak gol
"['lini', 'depan', 'kita', 'jauh', 'lebih', 'hidup', 'tapi', 'defense', 'kita', 'masih', 'rapuh', 'harus', 'lebih', 'solid', 'lagi', 'di', 'belakang']",lini hidup defense rapuh solid di
"['min', 'dalot', 'deh', 'ligt', 'martinez', 'mazroui', 'kasih', 'delandang', 'ugarte', 'casemiro', 'bruno', 'maino', 'depan', 'coba', 'zirkzee', 'hojlund']",min dalot deh ligt martinez mazroui kasih delandang ugarte casemiro bruno maino coba zirkzee hojlund
"['gegenpressing', 'ala', 'amorim', 'lebih', 'efektif', 'daripada', 'pressing', 'setengah', 'matang', 'ten', 'hag']",gegenpressing ala amorim efektif pressing matang ten hag
"['untung', 'enggak', 'el', 'silahkan']",untung el silahkan
"['pemainpemain', 'senior', 'perlu', 'memberi', 'contoh', 'kepada', 'pemain', 'muda', 'di', 'dalam', 'tim']",pemainpemain senior contoh pemain muda di tim
"['enggak', 'di', 'tonton', 'menang', 'giliran', 'ditonton', 'kalah', 'mending', 'enggak', 'usah', 'menonton', 'dulu']",di tonton menang giliran ditonton kalah mending menonton
"['itu', 'bek', 'solid', 'banget', 'anjir']",bek solid banget anjir
['gas'],gas
"['strategi', 'sudah', 'bagus', 'tapi', 'finishingnya', 'parah', 'buang', 'peluang', 'mulu']",strategi bagus finishingnya parah buang peluang mulu
