before_tokenisasi,after_tokenisasi
dorgu di lecce juga sering dimainkan di sayap kanan selain posisi bek kiri dua kakinya juga sama hidupnya,"['dorgu', 'di', 'lecce', 'juga', 'sering', 'dimainkan', 'di', 'sayap', 'kanan', 'selain', 'posisi', 'bek', 'kiri', 'dua', 'kakinya', 'juga', 'sama', 'hidupnya']"
kemungkinan memasukkan mactominay sih botak,"['kemungkinan', 'memasukkan', 'mactominay', 'sih', 'botak']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
info mengenai channel streaming pertandingan sudah diupdate,"['info', 'mengenai', 'channel', 'streaming', 'pertandingan', 'sudah', 'diupdate']"
mu menang tapi saya merasa masih banyak yang harus diperbaiki lini belakang terlalu sering kebobolan,"['mu', 'menang', 'tapi', 'saya', 'merasa', 'masih', 'banyak', 'yang', 'harus', 'diperbaiki', 'lini', 'belakang', 'terlalu', 'sering', 'kebobolan']"
salah siapa pinjemin anthony sama rashport sosoan,"['salah', 'siapa', 'pinjemin', 'anthony', 'sama', 'rashport', 'sosoan']"
meskipun menang brighton tetap memberi perlawanan dan mampu menciptakan peluang di beberapa waktu yang krusial,"['meskipun', 'menang', 'brighton', 'tetap', 'memberi', 'perlawanan', 'dan', 'mampu', 'menciptakan', 'peluang', 'di', 'beberapa', 'waktu', 'yang', 'krusial']"
amrabat saja sudah kali main di fiorentina,"['amrabat', 'saja', 'sudah', 'kali', 'main', 'di', 'fiorentina']"
opsi buy akhir musim,"['opsi', 'buy', 'akhir', 'musim']"
kekalahan dan amorim harus segera temukan cara memperbaiki pertahanan kalau enggak kita bakal terus kalah,"['kekalahan', 'dan', 'amorim', 'harus', 'segera', 'temukan', 'cara', 'memperbaiki', 'pertahanan', 'kalau', 'enggak', 'kita', 'bakal', 'terus', 'kalah']"
astaghfirullah united,"['astaghfirullah', 'united']"
no tuchel yes,"['no', 'tuchel', 'yes']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
midfield kita sampah enggak bisa ngontrol tempo umpan mengaco semua,"['midfield', 'kita', 'sampah', 'enggak', 'bisa', 'ngontrol', 'tempo', 'umpan', 'mengaco', 'semua']"
semoga musim depan mu bisa lebih solid dan bersaing di papan atas,"['semoga', 'musim', 'depan', 'mu', 'bisa', 'lebih', 'solid', 'dan', 'bersaing', 'di', 'papan', 'atas']"
