before_stopword,after_stopword
"['fantastic', 'wajah', 'baru']",fantastic wajah
"['min', 'kok', 'harinya']",min harinya
"['kalau', 'altay', 'main', 'menang', 'sih']",altay main menang sih
"['sabar', 'disayang', 'sang', 'pencipta']",sabar disayang sang pencipta
"['lagi', 'eksperimen', 'kan', 'ya', 'mending', 'maksimalin', 'dorgu', 'dibanding', 'dalot', 'yang', 'deh', 'jelas', 'mutunya']",eksperimen ya mending maksimalin dorgu dibanding dalot deh mutunya
"['wo', 'baru', 'ini', 'menemukan', 'fan', 'emyu', 'dan', 'proud']",wo menemukan fan emyu proud
"['gue', 'nunggu', 'lu', 'ngetrol', 'jersey', 'tanah', 'abang', 'min', 'plis', 'hayo']",gue nunggu lu ngetrol jersey tanah abang min plis hayo
"['jersey', 'emyu']",jersey emyu
"['masih', 'sering', 'blunder']",blunder
"['menonton', 'manchester', 'united', 'seru', 'juga', 'ya', 'walaupun', 'bukan', 'fan', 'emyu']",menonton manchester united seru ya fan emyu
"['hastagnya', 'bagus', 'mu', 'tottenham', 'ahahah']",hastagnya bagus mu tottenham ahahah
['goblok'],goblok
"['wkwk', 'sampah']",wkwk sampah
"['kalo', 'mau', 'ganti', 'pelatih', 'ya', 'minimal', 'jangan', 'ole', 'lagi', 'ya']",kalo ganti pelatih ya minimal ole ya
"['ubur', 'ubur', 'ikan', 'lele', 'duet', 'onana', 'dalot', 'manyala', 'boleh']",ubur ubur ikan lele duet onana dalot manyala
"['main', 'tuh', 'begini', 'blok']",main tuh blok
"['manchester', 'united', 'lolos', 'ke', 'besar', 'liga', 'europa', 'usai', 'kalahkan', 'fcsb', 'mufc', 'emyu', 'mainoo']",manchester united lolos ke liga europa kalahkan fcsb mufc emyu mainoo
"['emyu', 'goblok', 'enggak', 'ditonton', 'bukannya', 'menang', 'malah', 'tolol']",emyu goblok ditonton menang tolol
"['min', 'pengin', 'dibikinin', 'juga']",min pengin dibikinin
"['ternyata', 'pertandingan', 'emyu', 'lawan', 'coventry', 'enggak', 'seburuk', 'itu']",pertandingan emyu lawan coventry seburuk
"['meanwhile', 'di', 'eredivisie', 'ajax', 'lagi', 'memimpin', 'klasemen', 'poin', 'sama', 'sama', 'psv', 'tapi', 'masih', 'punya', 'match', 'pelatihnya', 'bagus', 'nih', 'cocok', 'ngelatih', 'emyu']",meanwhile di eredivisie ajax memimpin klasemen poin psv match pelatihnya bagus nih cocok ngelatih emyu
"['jelas', 'paham', 'pak', 'vincent', 'niki']",paham vincent niki
"['kemarin', 'ada', 'yang', 'emyu', 'terus', 'ada', 'yang', 'matcha', 'juga', 'eh', 'sekarang', 'ada', 'yang', 'strawberry']",kemarin emyu matcha eh strawberry
"['hari', 'ini', 'tanggal', 'anjing']",tanggal anjing
"['manuel', 'ugarte', 'di', 'persiapan', 'jeda', 'internasional', 'uriguay', 'manchesterunited', 'ugarte', 'kingemyu']",manuel ugarte di persiapan jeda internasional uriguay manchesterunited ugarte kingemyu
"['tahi', 'false', 'nine', 'kayak', 'tahi', 'sok', 'sok', 'an', 'mencoba', 'formasi', 'malah', 'gagal', 'ini', 'mah', 'amorim', 'nya', 'yang', 'salah']",tahi false nine kayak tahi sok sok an mencoba formasi gagal mah amorim nya salah
"['semoga', 'di', 'next', 'match', 'lawan', 'palace', 'besok', 'nyekor', 'deh', 'biar', 'percaya', 'diri', 'tinggi', 'lagi', 'kayak', 'musim', 'lalu']",semoga di next match lawan palace besok nyekor deh biar percaya kayak musim
"['casemiro', 'akan', 'mempertahankan', 'posisinya', 'di', 'manchester', 'united', 'dan', 'akan', 'menolak', 'semua', 'tawaran', 'yang', 'masuk', 'manchesterunited', 'casemiro', 'kingemyu']",casemiro mempertahankan posisinya di manchester united menolak tawaran masuk manchesterunited casemiro kingemyu
"['saat', 'ini', 'jika', 'manchester', 'united', 'tanding', 'melawan', 'dewa', 'united', 'gue', 'yakin', 'manchester', 'united', 'bakalan', 'keok', 'deh']",manchester united tanding melawan dewa united gue manchester united keok deh
"['seru', 'kurang', 'gol', 'saja', 'dari', 'mu']",seru gol mu
"['official', 'hanibal', 'mejbri', 'meninggalkan', 'manchester', 'united', 'dengan', 'permanen', 'menuju', 'burnley', 'manchesterunited', 'hanibalmejbri', 'kingemyu']",official hanibal mejbri meninggalkan manchester united permanen burnley manchesterunited hanibalmejbri kingemyu
"['ft', 'premier', 'league', 'r', 'ben', 'amorim', 'debut', 'king', 'emyu', 'ditahan', 'imbang', 'tim', 'promosi', 'yang', 'sedang', 'berada', 'di', 'zona', 'degradasi', 'ipswich', 'town', 'manchester', 'united', 'gol', 'hutchison', 'rashford']",ft premier league r ben amorim debut king emyu ditahan imbang tim promosi di zona degradasi ipswich town manchester united gol hutchison rashford
"['emyuu', 'menango', 'asuu', 'emyu', 'manchesterunited']",emyuu menango asuu emyu manchesterunited
"['kebalik', 'dong', 'di', 'mana', 'sejarahnya', 'fan', 'emyu', 'bisa', 'santuy', 'kalah', 'saja', 'sombong', 'apalagi', 'menang', 'jangan', 'mengaburkan', 'yang', 'sudah', 'jelas', 'begitu', 'ah']",kebalik di sejarahnya fan emyu santuy kalah sombong menang mengaburkan ah
